COUNTRY,SAME,OPPOSITE,ABSTAIN,ABSENT,COINCIDENCE
Mongolia,0,15,1,2,0.00
Montenegro,0,13,5,0,0.00
Morocco,0,18,0,0,0.00
Mozambique,0,18,0,0,0.00
Myanmar,0,18,0,0,0.00
Namibia,0,18,0,0,0.00
Nauru,7,0,0,11,1.00
Nepal,0,18,0,0,0.00
Netherlands,0,12,6,0,0.00
New Zealand,0,12,5,1,0.00
Nicaragua,0,18,0,0,0.00
Niger,0,18,0,0,0.00
Nigeria,0,17,0,1,0.00
Norway,0,13,5,0,0.00
Oman,0,18,0,0,0.00
Pakistan,0,18,0,0,0.00
Palau,17,0,0,1,1.00
Panama,1,9,8,0,0.10
Papua New Guinea,0,9,9,0,0.00
Paraguay,0,3,15,0,0.00
Peru,0,15,3,0,0.00
Philippines,0,17,1,0,0.00
Poland,0,12,6,0,0.00
Portugal,0,13,5,0,0.00
Qatar,0,18,0,0,0.00
Republic of Korea,0,10,2,6,0.00
Republic of Moldova,0,13,5,0,0.00
Romania,0,13,5,0,0.00
Russia,0,14,3,1,0.00
Rwanda,0,8,3,7,0.00
St. Kitts and Nevis,0,5,0,13,0.00
Saint Lucia,0,18,0,0,0.00
St. Vincent/ Grenadines,0,16,0,2,0.00
Samoa,0,13,4,1,0.00
San Marino,0,13,5,0,0.00
Sao Tome and Principe,0,10,0,8,0.00
Saudi Arabia,0,18,0,0,0.00
Senegal,0,18,0,0,0.00
Serbia,0,13,5,0,0.00
Seychelles,0,18,0,0,0.00
Sierra Leone,0,10,0,8,0.00
Singapore,0,18,0,0,0.00
Slovak Republic,0,13,5,0,0.00
Slovenia,0,13,5,0,0.00
Solomon Islands,0,18,0,0,0.00
Somalia,0,18,0,0,0.00
South Africa,0,18,0,0,0.00
South Sudan,0,1,8,9,0.00
Spain,0,13,5,0,0.00
Sri Lanka,0,18,0,0,0.00
Sudan,0,16,0,2,0.00
Suriname,0,18,0,0,0.00
Swaziland,0,1,0,17,0.00
Sweden,0,13,5,0,0.00
Switzerland,0,13,5,0,0.00
Syria,0,18,0,0,0.00
Tajikistan,0,18,0,0,0.00
Thailand,0,17,1,0,0.00
TFYR Macedonia,0,1,0,17,0.00
Timor Leste,0,15,1,2,0.00
Togo,0,10,8,0,0.00
Tonga,0,5,11,2,0.00
Trinidad/Tobago,0,18,0,0,0.00
Tunisia,0,18,0,0,0.00
Turkey,0,18,0,0,0.00
Turkmenistan,0,11,0,7,0.00
Tuvalu,0,17,0,1,0.00
Uganda,0,12,0,6,0.00
Ukraine,0,11,5,2,0.00
United Arab Emirates,0,18,0,0,0.00
United Kingdom,1,12,5,0,0.08
U.R. Tanzania,0,18,0,0,0.00
Uruguay,0,17,1,0,0.00
Uzbekistan,0,18,0,0,0.00
Vanuatu,0,3,15,0,0.00
Venezuela,0,18,0,0,0.00
Vietnam,0,18,0,0,0.00
Yemen,0,18,0,0,0.00
Zambia,0,12,0,6,0.00
Zimbabwe,0,18,0,0,0.00
